V,A
-1.5549155394242804,-3.3361402419751745e-05
-1.5517141964956196,-3.3289462418834736e-05
-1.5485128535669588,-3.3217522417917733e-05
-1.5453115106382977,-3.310699931942281e-05
-1.542110167709637,-3.2963183559860125e-05
-1.5389088247809761,-3.281936780029743e-05
-1.5357074818523153,-3.267555204073475e-05
-1.5325061389236545,-3.257878498580788e-05
-1.5293047959949937,-3.250690286099781e-05
-1.5261034530663329,-3.2435020736187734e-05
-1.522902110137672,-3.2363138611377654e-05
-1.5197007672090113,-3.223568392991239e-05
-1.5164994242803504,-3.209175237666246e-05
-1.5132980813516896,-3.1947820823412526e-05
-1.5100967384230288,-3.180388927016259e-05
-1.506895395494368,-3.1692143692155424e-05
-1.5036940525657072,-3.158430762745468e-05
-1.5004927096370464,-3.147647156275393e-05
-1.4972913667083856,-3.1368635267696854e-05
-1.4940900237797246,-3.1260773448024827e-05
-1.4908886808510637,-3.115291162835281e-05
-1.487687337922403,-3.10450498086808e-05
-1.4844859949937421,-3.093718028211593e-05
-1.4812846520650813,-3.0829257392886436e-05
-1.4780833091364205,-3.0721334503656944e-05
-1.4748819662077597,-3.061341161442745e-05
-1.4716806232790989,-3.05055037835307e-05
-1.468479280350438,-3.0397641963858686e-05
-1.4652779374217773,-3.028978014418667e-05
-1.4620765944931164,-3.0181918324514655e-05
-1.4588752515644556,-3.009648143422813e-05
-1.4556739086357946,-3.005025514624962e-05
-1.4524725657071338,-3.0004028858271112e-05
-1.449271222778473,-2.9957802570292608e-05
-1.4460698798498122,-2.9825952415047107e-05
-1.4428685369211514,-2.966407318771105e-05
-1.4396671939924905,-2.9502193960374996e-05
-1.4364658510638297,-2.9340314733038937e-05
-1.433264508135169,-2.9167690525143556e-05
-1.4300631652065081,-2.8987946580661465e-05
-1.4268618222778473,-2.8808202636179374e-05
-1.4236604793491865,-2.8628458691697283e-05
-1.4204591364205257,-2.8465099102477746e-05
-1.4172577934918649,-2.8308151789803102e-05
-1.414056450563204,-2.815120447712846e-05
-1.4108551076345432,-2.7998158915543097e-05
-1.4076537647058824,-2.78654707375868e-05
-1.4044524217772216,-2.77327825596305e-05
-1.4012510788485608,-2.7600094381674205e-05
-1.3980497359198998,-2.74674062037179e-05
-1.394848392991239,-2.7324025105234197e-05
-1.3916470500625782,-2.7180119327692222e-05
-1.3884457071339174,-2.7036213550150247e-05
-1.3852443642052565,-2.6897607199204152e-05
-1.3820430212765957,-2.682569931942281e-05
-1.378841678347935,-2.6753791439641463e-05
-1.375640335419274,-2.668188355986012e-05
-1.3724389924906133,-2.6589394115784308e-05
-1.3692376495619525,-2.640965017130222e-05
-1.3660363066332917,-2.6229906226820133e-05
-1.3628349637046306,-2.6050162282338032e-05
-1.3596336207759698,-2.5859286908202475e-05
-1.356432277847309,-2.5643415354035533e-05
-1.3532309349186482,-2.542754379986859e-05
-1.3500295919899874,-2.5211672245701644e-05
-1.3468282490613266,-2.5057488023968013e-05
-1.3436269061326658,-2.498558014418667e-05
-1.340425563204005,-2.4913672264405327e-05
-1.3372242202753442,-2.484176438462398e-05
-1.3340228773466833,-2.4730627065378388e-05
-1.3308215344180225,-2.4586837060786968e-05
-1.3276201914893617,-2.4443047056195552e-05
-1.324418848560701,-2.4299257051604132e-05
-1.32121750563204,-2.4155373200074978e-05
-1.3180161627033793,-2.401144164682504e-05
-1.3148148197747185,-2.3867510093575103e-05
-1.3116134768460577,-2.3723578540325167e-05
-1.3084121339173969,-2.3595847155819775e-05
-1.305210790988736,-2.3472595453066335e-05
-1.302009448060075,-2.3349343750312885e-05
-1.2988081051314142,-2.321454584573099e-05
-1.2956067622027534,-2.301908526993583e-05
-1.2924054192740926,-2.2823624694140676e-05
-1.2892040763454318,-2.262816411834552e-05
-1.286002733416771,-2.2432981636465874e-05
-1.2828013904881101,-2.2253067194903452e-05
-1.2796000475594493,-2.2073152753341033e-05
-1.2763987046307885,-2.189323831177861e-05
-1.2731973617021277,-2.173180845561262e-05
-1.269996018773467,-2.168558216763411e-05
-1.2667946758448059,-2.1639355879655603e-05
-1.263593332916145,-2.1593129591677096e-05
-1.2603919899874843,-2.1423876063778567e-05
-1.2571906470588234,-2.1138663130355244e-05
-1.2539893041301626,-2.0853450196931924e-05
-1.2507879612015018,-2.05682372635086e-05
-1.247586618272841,-2.04125612273694e-05
-1.2443852753441802,-2.0313027269052908e-05
-1.2411839324155194,-2.0213493310736415e-05
-1.2379825894868586,-2.0113959352419925e-05
-1.2347812465581978,-2.0045567312361065e-05
-1.231579903629537,-2.000958442404858e-05
-1.2283785607008761,-1.9973601535736095e-05
-1.2251772177722153,-1.9937618647423612e-05
-1.2219758748435545,-1.9835829438870193e-05
-1.2187745319148937,-1.9692039434278773e-05
